id,project_title,total_cost
940,The Cardiac Na-Ca exchanger: Defining the mechanisms of its operation and regulation,385000.0
872,Affecting Gene Expression in the Placenta in an Animal Model,76000.0
205,Neddylation and cardiac protein quality control,380000.0
859,Effects of Exercise on Neuronal Activity in Obese Individuals,138229.0
724,Impact of Low Flow Nocturnal Oxygen Therapy On Hospital Admissions and Mortality in Patients with Heart Failure and Central Sleep Apnea - DCC,896611.0
497,Development of the PTP1B inhibitor MSI-1436 for therapeutic stimulation of heart regeneration following acute myocardial infarction,729622.0
389,"Cerebral Anatomy, Hemodynamics and Metabolism In Single Ventricles: Relationship to Neurodevelopment",651531.0
939,Preclinical development of biological pacemakers,135189.0
529,Novel therapeutic approaches to Mitral valve repair in ischemic heart disease,638920.0
419,National Resource for Translational and Developmental Proteomics,1123766.0
720,Phase IIB - Smart Eyewear Assistant for the Support of Seniors and their Caregivers in the Long-term Care Setting,995645.0
630,Characterization of a Lysosomal Acid Lipase Variant Associated with Coronary Disease,31208.0
378,Regulation of Cardiac Development in Health and Disease,879536.0
209,Utility of Lung Ultrasound in Assessing Pulmonary Congestion in Heart Failure,175769.0
476,A critical period of sleep required for normal brain development,190307.0
65,Effects of maternal cortisol on perinatal  cardiac metabolism and function,454058.0
396,Determining the role of nucleoporins in ciliogenesis and heart development,29192.0
188,Regulation and Significance of Sustained Circadian Oscillations,67722.0
43,Mechanistic evaluation of the role of circadian rhythms in acute lung injury and subsequent recovery,530591.0
511,In Vitro and In Situ Engineering of Fibroblasts for Cardiac Repair,530915.0
913,MinimallyÂ InvasiveÂ CardiacÂ Sympathetic Denervation for Malignant VentricularÂ Arrhythmia,755923.0
273,Compartmental PKA and Pathological Cardiac Hypertrophy,396250.0
471,Investigating Peripheral Circadian Rhythm Synchrony in Alzheimer's Disease,93960.0
892,Development of an advanced cryothermal ablation catheter and method for treating cardiac arrhythmias,300100.0
531,Multiscale modeling of inherited cardiomyopathies and therapeutic interventions,610274.0
325,Comprehensive Assessment of Right Ventricular and Pulmonary Vascular Function via CT Imaging in Heart Failure Patients,160384.0
582,"SUDEP Research Alliance: iPSC and Mouse Neurocardiac Models, Application 6 of 7",666500.0
160,Regulation of epicardial cell differentiation during development and disease,383750.0
977,Smartwatch Monitoring for Atrial Fibrillation After Stroke,853336.0
143,Epigenetic Influence on Thyroid Hormone Action in the Brain and on Behavior,389000.0
149,Neuromodulation of the Brain-Gut Axis by Transcutaneous Vagal Nerve Stimulation in Functional Dyspepsia,210625.0
469,Engineering an aortic heart valve with cellular and mechanical functionality,44524.0
874,"CaMKII signaling in physiology, heart failure and arrhythmias",950658.0
666,"Electric studies of excitation, secretion & contraction",379984.0
233,Ovarian Effects on Intrinsic Connectivity and the Affective Enhancement of Memory,109440.0
49,"Improving cardiac rehabilitation outcomes using data from daily life: A novel, multi-method ambulatory assessment approach",65994.0
358,Role of delta-like ligand-4 signaling in cardiac outflow tract development,168588.0
878,The role of kisspeptin and RFRP-3 in the neuroendocrine control of female reproduction,435255.0
935,ASPirin in Reducing Events in the Elderly,5794244.0
992,Understanding mitochondrial regulation of cardiac development and function through studies of Barth Syndrome,492523.0
39,Proteomic Profiles and Cardiac Dysfunction in Children and Adolescents with HIV,692531.0
130,Ovarian Effects on Intrinsic Connectivity and the Affective Enhancement of Memory,687369.0
862,Cardiac interaction networks as determinants of transcriptional specificity,574585.0
774,Mechanisms of anti-inflammation and membrane stabilization in muscular dystrophy,243325.0
619,The Genomic Basis of Congenital Heart Disease and Neurodevelopmental Outcomes,476803.0
416,Innate and adaptive immune-cell densities as risk factors for heart failure,741580.0
932,Estrogen receptor-alpha effects on right ventricular vascular density and angiogenesis in pulmonary hypertension,
323,"ATHEROSCLEROSIS IN RISK COMMUNITIES - FIELD CENTER - COHORT VISIT 7PERIOD OF PERFORMANCE - NOVEMBER 1, 2017 - DECEMBER 15, 2019",1169984.0
23,Early Case Management on Recovery From a Cardiac Event in Women,
590,CAMARO-ESRD: Cardiac Arrhythmia Monitoring and Related Outcomes in End Stage Renal Disease Patients,760938.0
467,"Small and large animal surgery, physiology and histology",
384,Role of Statins in Slowing Rheumatic Heart Disease (RHD) Progression: A Feasibility Study for a Randomized Controlled Trial,245533.0
408,Heart Failure in Single Right Ventricle Physiology: Pathologic Mechanisms and Novel Assessment,200772.0
13,Disparities in the effect of state policy for the newborn screening for critical congenital heart diseases,231150.0
681,Mapping 3D Mechanical Strains During Embryonic Heart Formation to Improve the Structure and Function of Engineered Human Heart Muscle,58654.0
76,Novel Approach to Enhance Myocardial Performance and Improve Heart Failure Outcome,395000.0
229,Targetable and Inhalable Nanoparticle Based Combination Therapy for PAH,380297.0
846,Small Molecule Therapy for the Treatment of Heart  Failure,268206.0
618,Pharmacogenetics and Personalized Medicine after Cardiac Surgery in Children,595221.0
11,The Use of Blood Cells as a Biomarker in a Porcine Model of CO Poisoning with Evaluation of an Engineered Succinate-Prodrug,697310.0
572,University of Louisville Regional Clinical Center for the CCTRN,468001.0
40,Evaluating the Impact of Singing Interventions on Markers of Cardiovascular Health in Older Patients with Cardiovascular Disease,329220.0
877,Development and Application of a Metabolomic Profile of Chronic Distress to Cardiometabolic Risk,491996.0
805,"Genetics, Pathophysiology, and Treatment of Recessive Autoinflammatory Diseases",1739754.0
505,Metabolomic Analyses for the Prognosis of Acute Coronary Syndrome,
145,CaMKII activation and regulation in adult cardiac myocytes,627722.0
921,Precision Cardiac CT:  Development of a Computational Platform for Optimizing Imaging,663328.0
166,Elucidating the role of class I HDACs in cardiac ischemia reperfusion injury,19577.0
288,Assessment of Low-Dose Radiation Risk and Mechanisms of Individual Radiosensitivity,475664.0
48,Understanding and addressing risks of low socioeconomic status and diabetes for heart failure,
218,Internal and external validation of a porcine dystrophinopathy model,341138.0
984,Development of Single-Screen Clinical Decision Support to Increase Guideline-Based Weight Management and Comorbidity Care,81000.0
745,Diagnosis of Heart Failure Status using Epidermal Metabolomics,228895.0
523,BLR&D Research Career Scientist Award Application,
100,Therapeutic Mechanisms of Cardiac Progenitors in Ischemic Cardiomyopathy,840689.0
969,The clinical impact of longitudinal measures of cardiac and pulmonary vascular morphology in smokers,728442.0
473,Phosphodiesterases Restrict  Spontaneous Beating of Cardiac Pacemaker Cells,295932.0
